,,
Character,Place from,Places visited (in order)
Alatiel reale,Alessandria d‘Egitto,Alessandria d‘Egitto
,,Mallorca
,,Andravida-Kyllini
,,Egina
,,Chios (GRE)
,,Smirne
,,Rodi
,,Pafo (Cipro)
,,Alessandria d‘Egitto
,,
Character,Place from,Places visited (in order)
Alatiel 2,Alessandria d‘Egitto,Alessandria d‘Egitto
,,Algarve
,,
Character,Place from,Places visited (in order)
Alatiel immaginaria,Alessandria d‘Egitto,Alessandria d‘Egitto
,,Aigues Mortes
,,Borgo San Lorenzo (FI)
,,Pafo (Cipro)
,,Alessandria d‘Egitto
