"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"7","3","Asti","Asti","PROPN","SP","_","1","obl","_","SpaceAfter=No",,
"13","9","Castel","Castel","PROPN","SP","_","7","obl","_","_",,
"14","10","Guiglielmo","Guiglielmo","PROPN","SP","_","9","flat:name","_","_",,
"49","5","Martellino","Martellino","PROPN","SP","_","3","nmod","_","_",,
"51","7","Neifile","Neifila","PROPN","SP","_","3","nmod","_","_",,
"64","20","Filostrato","Filostrato","PROPN","SP","_","19","nmod","_","SpaceAfter=No",,
"79","10","Neifile","Neifilo","PROPN","SP","_","8","obl","_","_",,
"166","63","Giuliano","Giuliano","PROPN","SP","_","62","nmod","_","_",,
"193","10","Azzo","Azzo","PROPN","SP","_","9","nmod","_","_",,
"195","12","Ferrara","Ferrara","PROPN","SP","_","9","nmod","_","SpaceAfter=No",,
"200","17","Rinaldo","Rinaldo","PROPN","SP","_","16","xcomp","_","_",,
"202","19","Asti","Asti","PROPN","SP","_","17","flat:name","_","_",,
"208","25","Bologna","Bologna","PROPN","SP","_","23","obl","_","SpaceAfter=No",,
"226","42","Ferrara","Ferrara","PROPN","SP","_","40","obl","_","_",,
"230","46","Verona","Verona","PROPN","SP","_","44","obl","_","SpaceAfter=No",,
"402","32","Dio","dio","PROPN","SP","_","30","obl","_","SpaceAfter=No",,
"418","47","Rinaldo","Rinaldo","PROPN","SP","_","45","obl","_","SpaceAfter=No",,
"442","19","Rinaldo","Rinaldo","PROPN","SP","_","20","nsubj","_","_",,
"531","79","Giuliano","Giuliano","PROPN","SP","_","78","nmod","_","SpaceAfter=No",,
"538","86","Idio","Idio","PROPN","SP","_","95","nsubj","_","_",,
"571","18","de","de","PROPN","SP","_","20","case","_","SpaceAfter=No",,
"600","9","Giuliano","Giuliano","PROPN","SP","_","8","obj","_","SpaceAfter=No",,
"615","24","Dio","dio","PROPN","SP","_","22","obl:agent","_","SpaceAfter=No",,
"672","10","Rinaldo","Rinaldo","PROPN","SP","_","11","nsubj","_","_",,
"887","35","Castel","Castel","PROPN","SP","_","32","obl","_","_",,
"888","36","Guiglielmo","Guiglielmo","PROPN","SP","_","35","flat:name","_","SpaceAfter=No",,
"934","2","Va","Va","PROPN","SP","_","15","nsubj","_","SpaceAfter=No",,
"942","10","Giuliano","Giuliano","PROPN","SP","_","9","nmod","_","_",,
"973","4","Rinaldo","Rinaldo","PROPN","SP","_","2","nmod","_","_",,
"1005","35","Castel","Castel","PROPN","SP","_","33","obl","_","_",,
"1006","36","Guiglielmo","Guiglielmo","PROPN","SP","_","35","flat:name","_","SpaceAfter=No",,
"1029","1","Rinaldo","Rinaldo","PROPN","SP","_","3","nsubj","_","SpaceAfter=No",,
"1125","32","Castel","Castel","PROPN","SP","_","30","obl","_","_",,
"1126","33","Guiglielmo","Guiglielmo","PROPN","SP","_","32","flat:name","_","SpaceAfter=No",,
"1154","61","Idio","Idio","PROPN","SP","_","60","xcomp","_","SpaceAfter=No",,
"1317","46","Giuliano","Giuliano","PROPN","SP","_","42","obl","_","SpaceAfter=No",,
"1337","3","Giuliano","Giuliano","PROPN","SP","_","2","obj","_","SpaceAfter=No",,
"1377","22","Azzo","Azzo","PROPN","SP","_","21","nmod","_","_",,
"1412","16","Rinaldo","Rinaldo","PROPN","SP","_","19","nsubj","_","_",,
"1599","11","Rinaldo","Rinaldo","PROPN","SP","_","10","nmod","_","_",,
"1627","37","Rinaldo","Rinaldo","PROPN","SP","_","38","nsubj","_","_",,
"1654","2","Va","Va","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"1729","2","Rinaldo","Rinaldo","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"1845","2","Va","Va","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"1916","2","Tosto","Tosto","PROPN","SP","_","4","nsubj","_","SpaceAfter=No",,
"2019","12","Idio","Idio","PROPN","SP","_","11","obj","_","_",,
"2022","15","Giuliano","Giuliano","PROPN","SP","_","12","flat:name","_","_",,
"2102","2","Madonna","Madonna","PROPN","SP","_","7","obl","_","SpaceAfter=No",,
"2471","5","Rinaldo","Rinaldo","PROPN","SP","_","4","conj","_","SpaceAfter=No",,
"2473","7","Idio","Idio","PROPN","SP","_","5","conj","_","_",,
"2476","10","Giulian","Giulian","PROPN","SP","_","0","root","_","_",,
